IF;CONTROL;3;3;
ABS;MATH_TRIG;1;1;
ACOS;MATH_TRIG;1;1;
ADD;MATH_TRIG;2;2;
AND;MATH_TRIG;1;*;
ASIN;MATH_TRIG;1;1;
ATAN;MATH_TRIG;1;1;
AVERAGE;MATH_TRIG;1;*;
CEILING;MATH_TRIG;1;1;
CHAR;TEXT;1;1;
CLEAN;TEXT;1;1;
CODE;TEXT;1;1;
CONCATENATE;TEXT;2;2;
CONTINUE;CONTROL;0;0;
COS;MATH_TRIG;1;1;
COUNT;MATH_TRIG;1;*;
DATE;DATE_TIME;3;3;
DATEFORMAT;DATE_TIME;2;2;
DATEVALUE;DATE_TIME;1;1;
DEL;MATH_TRIG;2;2;
DIV;MATH_TRIG;2;2;
EQ;CONTROL;2;2;
EVEN;MATH_TRIG;1;1;
EXACT;TEXT;2;2;
EXP;MATH_TRIG;1;1;
FACT;MATH_TRIG;1;1;
FIRST;MATH_TRIG;1;*;
FLOOR;MATH_TRIG;1;1;
GE;CONTROL;2;2;
GT;CONTROL;2;2;
INT;MATH_TRIG;1;1;
ISERROR;CONTROL;1;1;
LAST;MATH_TRIG;1;*;
LE;CONTROL;2;2;
LEFT;TEXT;2;2;
LEN;TEXT;1;1;
LN;MATH_TRIG;1;1;
LOG;MATH_TRIG;2;2;
LOG10;MATH_TRIG;1;1;
LOWER;TEXT;1;1;
LT;CONTROL;2;2;
MAX;MATH_TRIG;1;*;
MID;TEXT;3;3;
MIN;MATH_TRIG;1;*;
MOD;MATH_TRIG;2;2;
MUL;MATH_TRIG;2;2;
NE;CONTROL;2;2;
NOT;MATH_TRIG;1;1;
NOW;DATE_TIME;0;0;
ODD;MATH_TRIG;1;1;
OR;MATH_TRIG;1;*;
PI;MATH_TRIG;0;0;
POWER;MATH_TRIG;2;2;
PROPER;TEXT;1;1;
QUOTIENT;MATH_TRIG;2;2;
RAND;MATH_TRIG;0;0;
RANDBETWEEN;MATH_TRIG;2;2;
REPLACE;TEXT;4;4;
REPT;TEXT;2;2;
RIGHT;TEXT;2;2;
ROUND;MATH_TRIG;2;2;
SEARCH;TEXT;2;2;
SIGN;MATH_TRIG;1;1;
SIN;MATH_TRIG;1;1;
SQRT;MATH_TRIG;1;1;
STET;CONTROL;0;0;
STR;TEXT;3;3;
SUBSTITUTE;TEXT;3;3;
SUM;MATH_TRIG;1;*;
TAN;MATH_TRIG;1;1;
TRIM;TEXT;1;1;
TRUNC;MATH_TRIG;1;1;
UPPER;TEXT;1;1;
VALUE;TEXT;1;1;
VALUEDATE;DATE_TIME;1;1;
WEEKDAY;DATE_TIME;1;1;
PALO.DATA;PALO;3;*;
PALO.ECHILD;PALO;4;4;
PALO.ECHILDCOUNT;PALO;3;3;
PALO.ECOUNT;PALO;2;2;
PALO.EFIRST;PALO;2;2;
PALO.EINDENT;PALO;3;3;
PALO.EINDEX;PALO;3;3;
PALO.EISCHILD;PALO;4;4;
PALO.ELEVEL;PALO;3;3;
PALO.ENAME;PALO;3;3;
PALO.ENEXT;PALO;3;3;
PALO.EOFFSET;PALO;4;4;
PALO.EPARENT;PALO;4;4;
PALO.EPARENTCOUNT;PALO;3;3;
PALO.EPREV;PALO;3;3;
PALO.ESIBLING;PALO;4;4;
PALO.ETOPLEVEL;PALO;2;2;
PALO.ETYPE;PALO;3;3;
PALO.EWEIGHT;PALO;4;4;
PALO.CUBEDIMENSION;PALO;3;3;
PALO.MARKER;PALO;3;*;
